Date,y_true,y_pred
2019-01-11,108.97612,109.02717903886736
2019-01-14,107.741478,109.06027547673224
2019-01-15,108.648575,107.82488554009866
2019-01-16,107.539879,108.7325681975454
2019-01-17,108.421799,107.62296381643188
2019-01-18,109.765633,108.50577198194205
2019-01-21,109.765633,109.85011029666805
2019-01-22,108.178246,109.84969157400798
2019-01-23,108.178246,108.26107605643583
2019-01-24,106.69162,108.26092130621362
2019-01-25,107.699478,106.77354071013688
2019-01-28,108.337822,107.78208269930792
2019-01-29,109.463257,108.42082590028882
2019-01-30,110.563522,109.54677083743286
2019-01-31,111.772964,110.64741396604849
2019-02-01,112.713654,111.85714740522671
2019-02-04,111.604988,112.79830404208089
2019-02-05,111.604988,111.68888523948574
2019-02-06,111.705772,111.68893845689107
2019-02-07,110.90789,111.78990479861163
2019-02-08,111.201836,110.99162018114208
2019-02-11,110.865906,111.28582786526489
2019-02-12,112.680069,110.94949875525212
2019-02-13,112.92363,112.76477441418957
2019-02-14,112.806023,113.00799350693822
2019-02-15,114.544609,112.89020451187658
2019-02-18,114.544609,114.62971925284492
2019-02-19,113.965111,114.62973290762639
2019-02-20,114.519417,114.04946461077773
2019-02-21,113.738327,114.60396246326172
2019-02-22,114.729385,113.82210599200117
2019-02-25,115.152107,114.813292220003
2019-02-26,115.076012,115.23533501884901
2019-02-27,114.873123,115.15896552990199
2019-02-28,115.524132,114.9559850514003
2019-03-01,116.969872,115.60711935850239
2019-03-04,117.079773,117.05363297930717
2019-03-05,117.324974,117.16322188243282
2019-03-06,117.595528,117.40848576020551
2019-03-07,116.876862,117.67896598907471
2019-03-08,116.724686,116.9597343401041
2019-03-11,117.14743,116.80725563333178
2019-03-12,117.671585,117.22978197004198
2019-03-13,117.866051,117.75384253002643
2019-03-14,116.69088,117.9481072526989
2019-03-15,116.335762,116.77217376205445
2019-03-18,115.972198,116.41690544399715
2019-03-19,117.045959,116.05310168541432
2019-03-20,116.073669,117.12722107175445
2019-03-21,116.758492,116.15415917579233
2019-03-22,115.752403,116.83926219799662
2019-03-25,115.498756,115.83236682419884
2019-03-26,117.155899,115.57890258196879
2019-03-27,117.265762,117.23667875747776
2019-03-28,117.417969,117.3461002795112
2019-03-29,118.187347,117.49818759888304
2019-04-01,117.50251,118.26802078388906
2019-04-02,116.428787,117.58256223806501
2019-04-03,115.972198,116.50856575085783
2019-04-04,114.619484,116.05191273856784
2019-04-05,115.135185,114.69902043993902
2019-04-08,115.101372,115.21535379744351
2019-04-09,114.619484,115.18166818608283
2019-04-10,114.627953,114.69973095271635
2019-04-11,114.315117,114.70826054086746
2019-04-12,114.966118,114.39547791863501
2019-04-15,115.422661,115.04705990274572
2019-04-16,116.69088,115.50374545897974
2019-04-17,117.113602,116.77188163867952
2019-04-18,116.268135,117.1948691515038
2019-04-19,116.268135,116.34887090831458
2019-04-22,116.530235,116.34885704807282
2019-04-23,118.280334,116.61154187063397
2019-04-24,117.68853,118.36242486710786
2019-04-25,118.068985,117.76984536482334
2019-04-26,118.694603,118.15077435907304
2019-04-29,118.229607,118.77640125543678
2019-04-30,119.379456,118.3109720514139
2019-05-01,120.013527,119.46162660314941
2019-05-02,119.447075,120.09594805591857
2019-05-03,120.06424,119.52890768785774
2019-05-06,120.131897,120.14646687945365
2019-05-07,118.3395,120.21427046071528
2019-05-08,118.187347,118.42054567855597
2019-05-09,117.291138,118.26813349612641
2019-05-10,117.561722,117.37154959327484
2019-05-13,115.997581,117.64224902601099
2019-05-14,115.676285,116.07727170187843
2019-05-15,115.752403,115.75607213333726
2019-05-16,116.851509,115.83264279943336
2019-05-17,117.189682,116.93213459772633
2019-05-20,117.029068,117.27059681186677
2019-05-21,116.775414,117.10966265001058
2019-05-22,117.316544,116.85576436201572
2019-05-23,118.187347,117.39754640502929
2019-05-24,118.195869,118.2687956805209
2019-05-27,118.195869,118.276858581944
2019-05-28,116.680626,118.276858581944
2019-05-29,111.794441,116.760674680619
2019-05-30,112.45842,111.87361632610667
2019-05-31,111.641228,112.53933914929391
2019-06-03,111.8881,111.72230442662239
2019-06-04,113.83744,111.9695424441576
2019-06-05,114.39077,113.91994852050782
2019-06-06,116.348625,114.47328411310077
2019-06-07,117.940475,116.43210754846037
2019-06-10,118.340569,118.02428427699508
2019-06-11,118.987495,118.42457794265115
2019-06-12,120.604881,119.07150928853095
2019-06-13,119.77919,120.68969223364199
2019-06-14,119.251381,119.86340631605863
2019-06-17,118.698082,119.33532572656308
2019-06-18,119.370575,118.78199099017573
2019-06-19,119.557831,119.45470324146748
2019-06-20,121.056038,119.64210546540629
2019-06-21,120.953903,121.14090673620487
2019-06-24,121.779625,121.03864245712221
2019-06-25,122.784081,121.86456550334394
2019-06-26,120.749619,122.8693854538579
2019-06-27,119.762138,120.83330848517632
2019-06-28,118.561882,119.84508597203302
2019-07-01,118.629967,118.64388559813737
2019-07-02,119.200317,118.71140959213841
2019-07-03,120.996437,119.28173906864475
2019-07-04,120.996437,121.07773009641504
2019-07-05,119.660004,121.07735507503342
2019-07-08,120.000504,119.73988567076111
2019-07-09,120.375038,120.0808561670065
2019-07-10,120.204796,120.45512436082149
2019-07-11,119.268402,120.28478342714787
2019-07-12,114.32267,119.34816442723702
2019-07-15,114.6717,114.40097835125685
2019-07-16,112.790413,114.75187415052652
2019-07-17,112.245621,112.87112732700622
2019-07-18,112.424393,112.32702930494928
2019-07-19,110.926155,112.50686910503697
2019-07-22,109.504593,111.0084840635383
2019-07-23,109.674843,109.58748567606139
2019-07-24,110.475021,109.75868823012149
2019-07-25,111.6157,110.55987304700267
2019-07-26,111.283691,111.70130841248036
2019-07-29,113.233047,111.36920395664144
2019-07-30,112.432892,113.31994989933514
2019-07-31,110.849571,112.51911378962659
2019-08-01,110.909157,110.93480322600817
2019-08-02,111.573143,110.99469946971487
2019-08-05,110.798492,111.65881187546337
2019-08-06,111.317764,110.88336795434093
2019-08-07,110.841064,111.40253347265052
2019-08-08,112.092369,110.92496835652733
2019-08-09,112.398834,112.17565716127504
2019-08-12,112.305191,112.48192110689949
2019-08-13,113.573586,112.38795451580167
2019-08-14,110.883621,113.65699994225908
2019-08-15,111.121971,110.96544263405299
2019-08-16,111.819984,111.20449838467813
2019-08-19,112.577599,111.90270986115647
2019-08-20,111.173058,112.66042906441928
2019-08-21,111.964706,111.2549076711502
2019-08-22,111.743393,112.04712516412712
2019-08-23,108.729958,111.82571585603762
2019-08-26,109.604767,108.81099405478
2019-08-27,111.18277,109.68713447397994
2019-08-28,110.359451,111.26530277644993
2019-08-29,109.982094,110.44229352440298
2019-08-30,110.085022,110.06465325725914
2019-09-02,110.085022,110.16778975285649
2019-09-03,110.410919,110.1678947381146
2019-09-04,110.51384,110.49416869561995
2019-09-05,110.273697,110.59693016095162
2019-09-06,109.956375,110.35654088047384
2019-09-09,108.875763,110.03922953872382
2019-09-10,111.105606,108.95828349698282
2019-09-11,112.494934,111.18945895767617
2019-09-12,111.860283,112.57912474960375
2019-09-13,112.160484,111.94366540976321
2019-09-16,111.097008,112.24407681372642
2019-09-17,111.208488,111.17996713435365
2019-09-18,111.843155,111.29159666490268
2019-09-19,111.585854,111.92664463697075
2019-09-20,112.906609,111.66897863779998
2019-09-23,112.98378,112.99028681497872
2019-09-24,112.820847,113.06746113340616
2019-09-25,112.340569,112.90413847165668
2019-09-26,110.505257,112.42376034886598
2019-09-27,110.290863,110.58732636730265
2019-09-30,110.959785,110.37343052725124
2019-10-01,111.482941,111.04248293699025
2019-10-02,113.206802,111.56577633707296
2019-10-03,112.512108,113.28996005362748
2019-10-04,114.630424,112.59519836601305
2019-10-07,114.20163,114.71484644046593
2019-10-08,113.069565,114.28515124691604
2019-10-09,110.822578,113.15239310174525
2019-10-10,110.685349,110.90449991197609
2019-10-11,112.632149,110.7676576747005
2019-10-14,112.109032,112.71515346809744
2019-10-15,113.9272,112.19177123601055
2019-10-16,115.925438,114.01056128635406
2019-10-17,116.783089,116.00976391231775
2019-10-18,109.518982,116.86780211289847
2019-10-21,109.793427,109.60007082870698
2019-10-22,110.805428,109.87611948864483
2019-10-23,111.405739,110.88881664647914
2019-10-24,109.347466,111.48945989608383
2019-10-25,110.076424,109.43000510001659
2019-10-28,110.788277,110.15999886062718
2019-10-29,110.736824,110.87218101885283
2019-10-30,113.9272,110.82066264989567
2019-10-31,113.241074,114.01225893392562
2019-11-01,112.520691,113.32585015651131
2019-11-04,111.688797,112.60480713145601
2019-11-05,111.851723,111.77247764035712
2019-11-06,112.31485,111.9357523834622
2019-11-07,112.717918,112.3991871439159
2019-11-08,114.064392,112.80211438564443
2019-11-11,113.189629,114.14953976500512
2019-11-12,112.64933,113.27398883187055
2019-11-13,112.580696,112.73330057777524
2019-11-14,112.31485,112.66450805159664
2019-11-15,115.72821,112.39794196938277
2019-11-18,115.633827,115.8132753818679
2019-11-19,115.625298,115.71816134409929
2019-11-20,116.585838,115.70944693678308
2019-11-21,117.014648,116.6705887047801
2019-11-22,118.41259,117.09926404771232
2019-11-25,118.464363,118.49773699254989
2019-11-26,118.455727,118.54925065787995
2019-11-27,118.956604,118.54062259063005
2019-11-28,118.956604,119.04153240544653
2019-11-29,118.732109,119.04148986324978
2019-12-02,118.619827,118.81662235702407
2019-12-03,118.447121,118.70403418548119
2019-12-04,120.364204,118.53109262301385
2019-12-05,120.519707,120.44863075785256
2019-12-06,121.227821,120.60388365521061
2019-12-09,121.331451,121.3119575306213
2019-12-10,120.891029,121.41532678539241
2019-12-11,121.745964,120.97408151599872
2019-12-12,122.056862,121.82884917003108
2019-12-13,122.091385,122.13912946293878
2019-12-16,122.445457,122.17354474191725
2019-12-17,123.973938,122.52722735452295
2019-12-18,123.654434,124.05604926321888
2019-12-19,125.51976,123.7360093504939
2019-12-20,126.132858,125.60213198338509
2019-12-23,126.461067,126.21491058919072
2019-12-24,126.020607,126.54357430272424
2019-12-25,126.020607,126.10275181819581
2019-12-26,125.93428,126.1025865670985
2019-12-27,125.865158,126.01594819610595
2019-12-30,125.47657,125.94634624600434
2019-12-31,125.968796,125.55723834712147
2020-01-01,125.968796,126.04942039748335
